Nasdaq Traded,Symbol,Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Fortune 500
Y,A,"Agilent Technologies, Inc. Common Stock",N, ,N,100,N,,A,A,N,Y
Y,AA,Alcoa Corporation Common Stock ,N, ,N,100,N,,AA,AA,N,N
Y,AAA,Listed Funds Trust AAF First Priority CLO Bond ETF,P, ,Y,100,N,,AAA,AAA,N,N
Y,AAAU,Perth Mint Physical Gold ETF,P, ,Y,100,N,,AAAU,AAAU,N,N
Y,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,G,N,100,N,N,,AACG,N,N
Y,AACQ,Artius Acquisition Inc. - Class A Common Stock,Q,S,N,100,N,N,,AACQ,N,N
Y,AACQU,Artius Acquisition Inc. - Unit consisting of one ordinary share and one third redeemable warrant,Q,S,N,100,N,N,,AACQU,N,N
Y,AACQW,Artius Acquisition Inc. - Warrant,Q,S,N,100,N,N,,AACQW,N,N
Y,AADR,AdvisorShares Dorsey Wright ADR ETF,P, ,Y,100,N,,AADR,AADR,N,N
Y,AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,100,N,N,,AAL,N,Y
Y,AAMC,Altisource Asset Management Corp Com,A, ,N,100,N,,AAMC,AAMC,N,N
Y,AAME,Atlantic American Corporation - Common Stock,Q,G,N,100,N,N,,AAME,N,N
Y,AAN,"Aarons Holdings Company, Inc. Common Stock",N, ,N,100,N,,AAN,AAN,N,N
Y,AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,100,N,N,,AAOI,N,N
Y,AAON,"AAON, Inc. - Common Stock",Q,Q,N,100,N,N,,AAON,N,N
Y,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N, ,N,100,N,,AAP,AAP,N,Y
Y,AAPL,Apple Inc. - Common Stock,Q,Q,N,100,N,N,,AAPL,N,Y
Y,AAT,"American Assets Trust, Inc. Common Stock",N, ,N,100,N,,AAT,AAT,N,N
Y,AAU,"Almaden Minerals, Ltd. Common Shares",A, ,N,100,N,,AAU,AAU,N,N
Y,AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,Q,N,100,N,N,,AAWW,N,N
Y,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,Q,G,Y,100,N,N,,AAXJ,N,N
Y,AAXN,"Axon Enterprise, Inc. - Common Stock",Q,Q,N,100,N,N,,AAXN,N,N
Y,AB,AllianceBernstein Holding L.P.  Units,N, ,N,100,N,,AB,AB,N,N
Y,ABB,ABB Ltd Common Stock,N, ,N,100,N,,ABB,ABB,N,N
Y,ABBV,AbbVie Inc. Common Stock,N, ,N,100,N,,ABBV,ABBV,N,Y
Y,ABC,AmerisourceBergen Corporation Common Stock,N, ,N,100,N,,ABC,ABC,N,Y
Y,ABCB,Ameris Bancorp - Common Stock,Q,Q,N,100,N,N,,ABCB,N,N
Y,ABEO,Abeona Therapeutics Inc. - Common Stock,Q,S,N,100,N,N,,ABEO,N,N
Y,ABEQ,Absolute Core Strategy ETF,P, ,Y,100,N,,ABEQ,ABEQ,N,N
Y,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N, ,N,100,N,,ABEV,ABEV,N,N
Y,ABG,Asbury Automotive Group Inc Common Stock,N, ,N,100,N,,ABG,ABG,N,N
Y,ABIO,"ARCA biopharma, Inc. - Common Stock",Q,S,N,100,N,N,,ABIO,N,N
Y,ABM,ABM Industries Incorporated Common Stock,N, ,N,100,N,,ABM,ABM,N,N
Y,ABMD,"ABIOMED, Inc. - Common Stock",Q,Q,N,100,N,N,,ABMD,N,Y
Y,ABR,Arbor Realty Trust Common Stock,N, ,N,100,N,,ABR,ABR,N,N
Y,ABR$A,Arbor Realty Trust Preferred Series A,N, ,N,100,N,,ABRpA,ABR-A,N,N
Y,ABR$B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,N, ,N,100,N,,ABRpB,ABR-B,N,N
Y,ABR$C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,N, ,N,100,N,,ABRpC,ABR-C,N,N
Y,ABT,Abbott Laboratories Common Stock,N, ,N,100,N,,ABT,ABT,N,Y
Y,ABTX,"Allegiance Bancshares, Inc. - Common Stock",Q,G,N,100,N,N,,ABTX,N,N
Y,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,Q,N,100,N,N,,ABUS,N,N
Y,AC,"Associated Capital Group, Inc. Common Stock",N, ,N,100,N,,AC,AC,N,N
Y,ACA,"Arcosa, Inc. Common Stock ",N, ,N,100,N,,ACA,ACA,N,N
Y,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Q,N,100,N,N,,ACAD,N,N
Y,ACAM,Acamar Partners Acquisition Corp. - Class A Common Stock,Q,S,N,100,N,N,,ACAM,N,N
Y,ACAMU,Acamar Partners Acquisition Corp. - Units,Q,S,N,100,N,N,,ACAMU,N,N
Y,ACAMW,Acamar Partners Acquisition Corp. - Warrant,Q,S,N,100,N,N,,ACAMW,N,N
Y,ACB,Aurora Cannabis Inc. Common Shares,N, ,N,100,N,,ACB,ACB,N,N
Y,ACBI,"Atlantic Capital Bancshares, Inc. - Common Stock",Q,Q,N,100,N,N,,ACBI,N,N
Y,ACC,American Campus Communities Inc Common Stock,N, ,N,100,N,,ACC,ACC,N,N
Y,ACCD,"Accolade, Inc. - common stock",Q,Q,N,100,N,N,,ACCD,N,N
Y,ACCO,Acco Brands Corporation Common Stock,N, ,N,100,N,,ACCO,ACCO,N,N
Y,ACEL,"Accel Entertainment, Inc. ",N, ,N,100,N,,ACEL,ACEL,N,N
Y,ACER,Acer Therapeutics Inc. - Common Stock,Q,S,N,100,N,N,,ACER,N,N
Y,ACES,ALPS Clean Energy ETF,Z, ,Y,100,N,,ACES,ACES,N,N
Y,ACET,"Adicet Bio, Inc. - Common Stock",Q,G,N,100,N,N,,ACET,N,N
Y,ACEV,ACE Convergence Acquisition Corp. - Class A Ordinary Shares,Q,S,N,100,N,N,,ACEV,N,N
Y,ACEVU,ACE Convergence Acquisition Corp. - Unit,Q,S,N,100,N,N,,ACEVU,N,N
Y,ACEVW,ACE Convergence Acquisition Corp. - Warrant,Q,S,N,100,N,N,,ACEVW,N,N
Y,ACGL,Arch Capital Group Ltd. - Common Stock,Q,Q,N,100,N,N,,ACGL,N,N
Y,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,Q,N,100,N,N,,ACGLO,N,N
Y,ACGLP,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Q,Q,N,100,N,N,,ACGLP,N,N
Y,ACH,Aluminum Corporation of China Limited American Depositary Shares,N, ,N,100,N,,ACH,ACH,N,N
Y,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,Q,N,100,N,N,,ACHC,N,N
Y,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Q,S,N,100,N,N,,ACHV,N,N
Y,ACI,"Albertsons Companies, Inc. Class A Common Stock",N, ,N,100,N,,ACI,ACI,N,N
Y,ACIA,"Acacia Communications, Inc. - Common Stock",Q,Q,N,100,N,N,,ACIA,N,N
Y,ACIO,ETF Series Solutions Aptus Collared Income Opportunity ETF,Z, ,Y,100,N,,ACIO,ACIO,N,N
Y,ACIU,AC Immune SA - Common Stock,Q,G,N,100,N,N,,ACIU,N,N
Y,ACIW,"ACI Worldwide, Inc. - Common Stock",Q,Q,N,100,N,N,,ACIW,N,N
Y,ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,Q,N,100,N,N,,ACLS,N,N
Y,ACM,AECOM Common Stock,N, ,N,100,N,,ACM,ACM,N,N
Y,ACMR,"ACM Research, Inc. - Class A Common Stock",Q,G,N,100,N,N,,ACMR,N,N
Y,ACN,Accenture plc Class A Ordinary Shares (Ireland),N, ,N,100,N,,ACN,ACN,N,Y
Y,ACNB,ACNB Corporation - Common Stock,Q,S,N,100,N,N,,ACNB,N,N
Y,ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,N, ,N,100,N,,ACND,ACND,N,N
Y,ACND.U,"Ascendant Digital Acquisition Corp. Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",N, ,N,100,N,,ACND.U,ACND=,N,N
Y,ACND.W,"Ascendant Digital Acquisition Corp. Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",N, ,N,100,N,,ACND.WS,ACND+,N,N
Y,ACOR,"Acorda Therapeutics, Inc. - Common Stock",Q,Q,N,100,N,D,,ACOR,N,N
Y,ACP,Aberdeen Income Credit Strategies Fund Common Shares,N, ,N,100,N,,ACP,ACP,N,N
Y,ACRE,Ares Commercial Real Estate Corporation Common Stock,N, ,N,100,N,,ACRE,ACRE,N,N
Y,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,Q,N,100,N,N,,ACRS,N,N
